drug_1_name,drug_2_name,smiles_1,smiles_2,interaction_label
apelin-36,TIP39-(3-39) (human/bovine),CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(C)C,0
upadacitinib,compound 52 [PMID: 28541707],CC[C@@H]1CN(C[C@@H]1c1cnc2n1c1cc[nH]c1nc2)C(=O)NCC(F)(F)F,N#Cc1ccc(cc1N1CCN(C(C1=O)(C)C)C(=O)C)c1cc(c2n1ncnc2N)C(F)(F)F,0
"compound 16d [Tao <i>et al.</i>, 2009]",camonsertib,Cn1nc2c(c1)c1c3C(=O)NCc3c3c(c1CC2)n(C(C)C)c1c3cc(cc1)Oc1ncccn1,C[C@@H]1COCCN1c1nc2c(cnn2c2ccn[nH]2)c(c1)C1(C[C@H]2CC[C@@H](C1)O2)O,0
avacopan,SHU9119,O=C([C@H]1CCCN([C@H]1c1ccc(cc1)NC1CCCC1)C(=O)c1c(C)cccc1F)Nc1ccc(c(c1)C(F)(F)F)C,C(C=1C=2C(NC1)=CC=CC2)[C@@H]3NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](CC4=CC5=C(C=C4)C=CC=C5)NC(=O)[C@H](CC6=CN=CN6)NC(=O)[C@@H](NC([C@H](CCCC)NC(C)=O)=O)CC(=O)NCCCC[C@@H](C(N)=O)NC3=O,0
vitamin K hydroquinone,ezutromid,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/Cc1c(C)c(O)c2c(c1O)cccc2)/C,CCS(=O)(=O)c1ccc2c(c1)nc(o2)c1ccc2c(c1)cccc2,0
cefazaflur,dihydrocarveol,O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C)CSC(F)(F)F,CC(=C)C1CCC(C(C1)O)C,1
LL-37,inhibitor M9 [PMID: 38236416],NCCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)CO)CCC(=O)O)[C@H](O)C)CCCN=C(N)N)C(C)C)CC(C)C)CC(=O)N)CCCN=C(N)N)CC(C)C)Cc1ccccc1)CC(=O)O)CCCCN)[C@H](CC)C)CCCN=C(N)N)CCC(=O)N)C(C)C)[C@H](CC)C)CCCN=C(N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@H]([C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)N)CC(C)C)CC(=O)O)Cc1ccccc1)Cc1ccccc1)CCCN=C(N)N)CCCCN)CO)CCCCN)CCC(=O)O)CCCCN)CCCCN)CCC(=O)O)Cc1ccccc1,O=C(NC1=CC=C(C(NCCCCCCC(NO)=O)=O)C=C1)N[C@]23C[C@H]4C[C@@](C[C@](C2)(C)C4)(C)C3,0
GPI-1046,streptonigrin,CCC(C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1)(C)C,COC1=C(OC)C=C/C(=c\2/c(N)c([nH]c(c2C)C(=O)O)c2ccc3c(n2)C(=O)C(=C(C3=O)OC)N)/C1=O,0
crizotinib,zoligratinib,Nc1ncc(cc1O[C@@H](c1c(Cl)ccc(c1Cl)F)C)c1cnn(c1)C1CCNCC1,Cc1nc2c([nH]1)cc(cc2)n1ncc(c1N)C(=O)c1cc2c([nH]1)cccc2,0
sitaxsentan,DS2,O=C(c1sccc1S(=O)(=O)Nc1onc(c1Cl)C)Cc1cc2OCOc2cc1C,Clc1ccc(cc1)C(=O)Nc1c(nc2n1cccc2)c1cccs1,0
spironolactone,fluvoxamine,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]2[C@@H]1[C@@H]1CC[C@]3([C@]1(CC2)C)CCC(=O)O3)C,NCCO/N=C(/c1ccc(cc1)C(F)(F)F)\CCCCOC,0
laropiprant,fluvoxamine,OC(=O)C[C@H]1CCc2c1n(Cc1ccc(cc1)Cl)c1c2cc(cc1S(=O)(=O)C)F,NCCO/N=C(/c1ccc(cc1)C(F)(F)F)\CCCCOC,0
eribaxaban,lifitegrast,CO[C@@H]1C[C@@H](N(C1)C(=O)Nc1ccc(cc1)Cl)C(=O)Nc1ccc(cc1F)n1ccccc1=O,OC(=O)[C@@H](NC(=O)c1c(Cl)cc2c(c1Cl)CCN(C2)C(=O)c1ccc2c(c1)occ2)Cc1cccc(c1)S(=O)(=O)C,0
foscarnet,S6716,OC(=O)P(=O)(O)O,NC(=N)c1cccc(c1)Cn1c(cc2c1cccc2C)C(=O)NCc1cccc2c1cccc2,0
purmorphamine,IRAK-1/4 inhibitor,C1CCC(CC1)n1cnc2c1nc(nc2Nc1ccc(cc1)N1CCOCC1)Oc1cccc2c1cccc2,O=C(c1cccc(c1)[N+](=O)[O-])Nc1nc2c(n1CCN1CCOCC1)cccc2,1
ORG-37684,AL-37350A,COc1ccc2c(c1O[C@@H]1CNCC1)CCC2,C[C@@H](Cc1c[nH]c2c1c1CCCOc1cc2)N,0
compound 43 [PMID: 34781683],fasidotrilat,CNCCNCC1=CC=CC(=C1)C2=NC(C3=C(C)ON=C3C)=C(C)C(NC4=CC=CC=C4)=N2,SC[C@H](C(=O)N[C@H](C(=O)O)C)Cc1ccc2c(c1)OCO2,1
compound 14k [PMID: 21982499],laduviglusib,Clc1ccccc1Nc1nc2c(cccc2c2c1ccnc2)c1[nH]cnn1,N#Cc1ccc(nc1)NCCNc1ncc(c(n1)c1ccc(cc1Cl)Cl)c1ncc([nH]1)C,0
ezurpimtrostat,oveporexton,CC(C)(C)NC1CCN(CC1)c1cc(nc2ccccc12)NCc1ccc(cc1)Cl,FC1([C@@H]([C@@H](N(C1)C(C(C)(C)O)=O)CC=2C(=C(C=CC2)C3=CC(=CC(=C3)F)F)F)NS(=O)(=O)CC)F,0
AZ191,ARD-69,COc1cc(ccc1Nc1nccc(n1)c1cn(c2c1ccnc2)C)N1CCN(CC1)C,N#Cc1ccc(cc1Cl)O[C@@H]1C(C)(C)[C@H](C1(C)C)NC(=O)c1ccc(cc1)C#CC1CCN(CC1)C1CCN(CC1)C(=O)C[C@@H](c1ccc(cc1)c1scnc1C)NC(=O)[C@@H]1C[C@H](CN1C(=O)[C@H](C(C)(C)C)NC(=O)C1(F)CC1)O,0
compound 5 [PMID: 22533316],GW1100,OCCN(CCCC#C[C@@H]1CC[C@H](CC1)N(C(=O)Oc1ccc(cc1)Cl)C)CC,CCOc1ncc(cn1)Cc1cn(c2ccc(cc2)C(=O)OCC)c(nc1=O)SCc1ccc(cc1)F,0
[<sup>125</sup>I]epibatidine,N-methyl scopolamine,Clc1ccc(cn1)C1CC2NC1CC2,OC[C@H](c1ccccc1)C(=O)OC1C[C@@H]2[C@@H]3[C@H]([C@H](C1)[N+]2(C)C)O3,0
BIIE0246,CHMFL-KIT-8140,NC(=NCCC[C@@H](C(=O)NCCn1c(=O)n(n(c1=O)c1ccccc1)c1ccccc1)NC(=O)CC1(CCCC1)CC(=O)N1CCN(CC1)C1c2ccccc2NC(=O)c2c1cccc2)N,CCC(=O)NCC1CCN(CC1)c1ccc(cc1C(F)(F)F)NC(=O)Nc1cccc(c1)Oc1cnc2c(c1)cc(c(c2)OC)OC,0
ONO-2333MS,BRD1158,CCC(Nc1c2CCCc2nc2n1nc(c2c1ccc(cc1Cl)OC)C)CC,CS(=O)(=O)C1=CC=C(C=C1)C2=NC(NCC3=COC=C3)=CC=C2,1
imbutamine,CM4620,NCCCCc1cnc[nH]1,Clc1cc2OC(Oc2cc1c1ncc(nc1)NC(=O)c1c(C)cccc1F)(F)F,0
3-methylhexanal,eltrombopag,CCCC(C)CC=O,OC(=O)c1cccc(c1)c1cccc(c1O)N/N=C\1/C(=NN(C1=O)c1ccc(c(c1)C)C)C,0
bambuterol,MS40,O=C(N(C)C)Oc1cc(cc(c1)OC(=O)N(C)C)C(CNC(C)(C)C)O,CN1CCN(CC1)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)c1cc(CN2CCN(CCNC(=O)CCCCCCCNc3c4C(=O)N(C5CCC(=O)NC5=O)C(=O)c4ccc3)CC2)ccc1,1
eucalyptol,VU0810464,CC12CCC(CC1)C(O2)(C)C,O=C(Nc1cc(nn1C1CCCCC1)C)Cc1ccc(c(c1)Cl)F,0
oleuropein,VU0155041,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@H](/C/2=C\C)CC(=O)OCCc2ccc(c(c2)O)O)C(=O)OC)[C@@H]([C@H]([C@@H]1O)O)O,O=C([C@H]1CCCC[C@H]1C(=O)O)Nc1cc(Cl)cc(c1)Cl,0
T5-8,[<sup>3</sup>H]hemicholinium-3,O=C1C(=O)c2cccnc2c2c1cccn2,OC1(OCC[N+](C1)(C)C)c1ccc(cc1)c1ccc(cc1)C1(O)OCC[N+](C1)(C)C.[Br-].[Br-],1
estriol,GT2394,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1C[C@H]([C@@H]2O)O)C,O=C(N[C@@H]1C[C@H]1c1cnc[nH]1)OCC1CCCCC1,0
amuvatinib,NVP 231,S=C(N1CCN(CC1)c1ncnc2c1oc1c2cccc1)NCc1ccc2c(c1)OCO2,O=C(c1ccccc1)Nc1sc2c(n1)ccc(c2)NC(=O)C12CC3CC(C2)CC(C1)C3,0
ellagic acid,cetefloxacin,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,Fc1ccc(c(c1)F)n1cc(C(=O)O)c(=O)c2c1cc(c(c2)F)N1C[C@H]([C@@H]1C)N,1
[<sup>125</sup>I]SB258585,PSB-17365,COc1ccc(cc1N1CCN(CC1)C)NS(=O)(=O)c1ccc(cc1)[125I],Brc1ccc(cc1)CCNc1cc(=O)[nH]c(=O)[nH]1,0
"2',5'-dideoxyadenosine",geldanamycin,O[C@H]1C[C@@H](O[C@@H]1C)n1cnc2c1ncnc2N,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(C2=O)NC(=O)/C(=C/C=C\[C@@H]([C@H](/C(=C/[C@@H]([C@H]1O)C)/C)OC(=O)N)OC)/C,0
azilsartan,EMPA,CCOc1nc2c(n1Cc1ccc(cc1)c1ccccc1c1[nH]oc(=O)n1)c(ccc2)C(=O)O,COc1ccc(cn1)N(S(=O)(=O)c1ccccc1C)CC(=O)N(Cc1cccnc1)CC,0
GSK3008348,alnodesertib,CC=1C=C(C)N(N1)C2=CC=CC([C@H](CC(O)=O)CN3C[C@@H](CC3)CCC=4C=CC5=C(N4)NCCC5)=C2,C[C@@H]1COCCN1C2=NC(=NC(=C2)N=[S@](=O)(C)C3CC3)C4=CC(=NC=C4)N,1
naloxone benzoylhydrazone,RWJ-56423,C=CCN1CC[C@@]23[C@@]4([C@H]1Cc1c3c(O[C@H]2/C(=N/NC(=O)c2ccccc2)/CC4)c(cc1)O)O,NC(=N)NCCC[C@@H](C(=O)c1nc2c(s1)cccc2)NC(=O)[C@@H]1C[C@H](CN1C(=O)C)O,0
crinecerfont,BI-3406,C#CCN([C@H](c1ccc(c(c1)F)C)CC1CC1)c1sc(c(n1)c1cc(C)c(cc1Cl)OC)C,Cc1nc2cc(c(cc2c(n1)N[C@H](C)c1cc(cc(c1)N)C(F)(F)F)O[C@H]1CCOC1)OC,0
(S)-VU0637120,[<sup>3</sup>H]histamine,CS(=O)(N1CCCCC1C(NC2=NC3=C(S2)C=C4OCCOC4=C3)=O)=O,NCCc1cnc[nH]1,0
TP-6076,IRAK-1/4 inhibitor,CCN(CC)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)[C@@H]5CCCN5)C(F)(F)F,O=C(c1cccc(c1)[N+](=O)[O-])Nc1nc2c(n1CCN1CCOCC1)cccc2,0
ONO-2333MS,MRS1132,CCC(Nc1c2CCCc2nc2n1nc(c2c1ccc(cc1Cl)OC)C)CC,O=c1c(Cl)c(oc2c1cccc2)c1ccccc1,0
resolvin D2,methacholine,CC/C=C\C[C@@H](C(/C=C/C=C/C=C\C=C\[C@@H](C/C=C\CCC(=O)O)O)O)O,CC(C[N+](C)(C)C)OC(=O)C,0
tecalcet,7&alpha;-F-ginkgolide B,COc1cccc(c1)[C@H](NCCCc1ccccc1Cl)C,O=C1O[C@@H]2[C@@](C1C)(O)[C@]13C4(C2O)C(OC3=O)C(C(C24C(O1)OC(=O)[C@@H]2O)C(C)(C)C)F,1
forsythoside B,MRS2698,OC[C@@]1(O)CO[C@H]([C@@H]1O)OC[C@H]1O[C@@H](OCCc2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1OC(=O)/C=C/c1ccc(c(c1)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O,O[C@@H]1[C@@H](COP(=O)(OP(=O)(OP(=O)(O)O)O)O)O[C@H]([C@@H]1N)n1ccc(=O)[nH]c1=S,0
LUF7602,calphostin C,CCCn1c(=O)c2n3ccc(cc3nc2n(c1=O)CCCCNC(=O)c1ccc(cc1)S(=O)(=O)F)OC,COC1=CC(=O)c2c3c1c1C(=CC(=O)c4c1c(c3c(c(c2O)OC)C[C@H](OC(=O)Oc1ccc(cc1)O)C)c(C[C@H](OC(=O)c1ccccc1)C)c(c4O)OC)OC,0
S26284,bepafant,CC(=O)NCCc1cccc2c1cc(OCCCCOc1ccc3c(c1)c(CCNC(=O)C)ccc3)cc2,O=C(C1Cc2c(C1)c1c(s2)n2c(C)nnc2CN=C1c1ccccc1Cl)N1CCOCC1,1
SLC-0111,[<sup>125</sup>I]SB258585,O=C(Nc1ccc(cc1)F)Nc1ccc(cc1)S(=O)(=O)N,COc1ccc(cc1N1CCN(CC1)C)NS(=O)(=O)c1ccc(cc1)[125I],0
dabigatran,compound 7 [WO2012007375],OC(=O)CCN(C(=O)c1ccc2c(c1)nc(n2C)CNc1ccc(cc1)C(=N)N)c1ccccn1,NCCN(c1ncc2c(n1)c(cs2)C(=O)Nc1cc2cccnc2cc1OC)C,0
AZD4625,compound 29b [PMID: 20809633],C[C@@H]1CN2c3c4c(c(c(c(c4OCC[C@H]2CN1C(=O)C=C)Cl)c1c(cccc1F)O)F)ncn3,C#Cc1cc(F)cc(c1)N1CCCc2c(C1)nc(o2)c1ccccn1,0
estriol,XE991,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1C[C@H]([C@@H]2O)O)C,O=C1c2ccccc2C(c2c1cccc2)(Cc1ccncc1)Cc1ccncc1,0
MI-1148,busulfan,CC([C@@H](C(=O)N[C@H](C(=O)NCc1ccc(cc1)C(=N)N)CCCN=C(N)N)NC(=O)[C@@H](NC(=O)Cc1ccc(cc1)CN=C(N)N)CCCN=C(N)N)(C)C,CS(=O)(=O)OCCCCOS(=O)(=O)C,1
vitamin K hydroquinone,URB597,C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/Cc1c(C)c(O)c2c(c1O)cccc2)/C,O=C(Oc1cccc(c1)c1cccc(c1)C(=O)N)NC1CCCCC1,0
[<sup>3</sup>H]hemicholinium-3,fluvoxamine,OC1(OCC[N+](C1)(C)C)c1ccc(cc1)c1ccc(cc1)C1(O)OCC[N+](C1)(C)C.[Br-].[Br-],NCCO/N=C(/c1ccc(cc1)C(F)(F)F)\CCCCOC,0
compound 3 [PMID: 22533316],deutetrabenazine,OCCN(CCCCOc1ccc2c(c1)snc2c1ccc(cc1)Br)CC,CC(C[C@@H]1CN2CCc3c([C@H]2CC1=O)cc(c(c3)OC([2H])([2H])[2H])OC([2H])([2H])[2H])C,0
BML-281,MRS1132,ONC(=O)CCCCCCNC(=O)c1noc(c1)c1ccc(cc1)NC(=O)OC(C)(C)C,O=c1c(Cl)c(oc2c1cccc2)c1ccccc1,0
sonepiprazole,IRAK-1/4 inhibitor,NS(=O)(=O)c1ccc(cc1)N1CCN(CC1)CC[C@@H]1OCCc2c1cccc2,O=C(c1cccc(c1)[N+](=O)[O-])Nc1nc2c(n1CCN1CCOCC1)cccc2,1
MTK458,baloxavir marboxil,FC(F)(F)C1=CC2=C(N1)N=CN=C2N[C@@H]3CCCC4=C3C=CC=C4,COC(=O)OCOc1c2C(=O)N3CCOC[C@H]3N(n2ccc1=O)[C@H]1c2c(CSc3ccccc13)c(c(cc2)F)F,0
CHR-3996,inhibitor M9 [PMID: 38236416],ONC(=O)c1cnc(nc1)N1C[C@@H]2[C@H](C1)[C@H]2NCc1ccc2c(n1)ccc(c2)F,O=C(NC1=CC=C(C(NCCCCCCC(NO)=O)=O)C=C1)N[C@]23C[C@H]4C[C@@](C[C@](C2)(C)C4)(C)C3,0
adaptavir,CCT245737,C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@@H](C)N)O,N#Cc1cnc(cn1)Nc1ncc(c(c1)NC[C@H]1CNCCO1)C(F)(F)F,0
A317491,EMPA,O=C(c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O)N([C@H]1CCCc2c1cccc2)Cc1cccc(c1)Oc1ccccc1,COc1ccc(cn1)N(S(=O)(=O)c1ccccc1C)CC(=O)N(Cc1cccnc1)CC,0
S6716,IC261,NC(=N)c1cccc(c1)Cn1c(cc2c1cccc2C)C(=O)NCc1cccc2c1cccc2,COc1cc(OC)cc(c1C=C1C(=O)Nc2c1cccc2)OC,1
"compound 16d [Tao <i>et al.</i>, 2009]",compound 5b [PMID: 29457898],Cn1nc2c(c1)c1c3C(=O)NCc3c3c(c1CC2)n(C(C)C)c1c3cc(cc1)Oc1ncccn1,C/C(=C\COP(=O)(N[C@H](C(=O)OCc1ccccc1)C)Oc1ccccc1)/CO[Si](C(C)(C)C)(C)C,0
oleuropein,sobetirome,OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@H](/C/2=C\C)CC(=O)OCCc2ccc(c(c2)O)O)C(=O)OC)[C@@H]([C@H]([C@@H]1O)O)O,OC(=O)COc1cc(C)c(c(c1)C)Cc1ccc(c(c1)C(C)C)O,0
Cdk2 inhibitor IV,&beta;-FNA,CCN(C(=O)c1ccc(cc1)Nc1nc(OCC2CCCCC2)c2c(n1)nc[nH]2)CC,COC(=O)/C=C/C(=O)N[C@@H]1CC[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CC2)ccc1O)O,1
